Nom_commune;Code_Commune;Nom_commune;Code_Canton;Nom_Canton;Code_Canton
CORMERY;37083;CORMERY;3734;CHAMBRAY LES TOURS;3734
COUESMES;37084;COUESMES;3705;CHATEAU LA VALLIERE;3705
courçay;37085;Courçay;3703;BLERE;3703
COURCELLES DE TOURAINE;37086;COURCELLES DE TOURAINE;3705;CHATEAU LA VALLIERE;3705
courcoué;37087;courcoué;3719;RICHELIEU;3719
COUZIERS;37088;COUZIERS;3707;CHINON;3707
cravant les côteaux;37089;cravant les côteaux;3710;L'ILE BOUCHARD;3710
CRISSAY SUR MANSE;37090;CRISSAY SUR MANSE;3710;L'ILE BOUCHARD;3710
LA CROIX EN TOURAINE;37091;LA CROIX EN TOURAINE;3703;BLERE;3703
CROTELLES;37092;CROTELLES;3706;CHATEAU RENAULT;3706
CROUZILLES;37093;CROUZILLES;3710;L'ILE BOUCHARD;3710
CUSSAY;37094;CUSSAY;3709;DESCARTES;3709
DAME MARIE LES BOIS;37095;DAME MARIE LES BOIS;3706;CHATEAU RENAULT;3706
DIERRE;37096;DIERRE;3703;BLERE;3703
DOLUS;37097;DOLUS;3713;LOCHES;3713
draché;37098;draché;3709;DESCARTES;3709
DRUYE;37099;DRUYE;3731;BALLAN MIRE;3731
EPEIGNE LES BOIS;37100;EPEIGNE LES BOIS;3703;BLERE;3703
epeigné sur dême;37101;epeigné sur dême;3717;NEUVY LE ROI;3717
LES ESSARDS;37102;LES ESSARDS;3711;LANGEAIS;3711
ESVES LE MOUTIER;37103;ESVES LE MOUTIER;3712;LIGUEIL;3712
ESVRES SUR INDRE;37104;ESVRES SUR INDRE;3734;CHAMBRAY LES TOURS;3734
FAYE LA VINEUSE;37105;FAYE LA VINEUSE;3719;RICHELIEU;3719
la ferrière;37106;la ferrière;3706;CHATEAU RENAULT;3706
ferrière larçon;37107;ferrière larçon;3708;LE GRAND PRESSIGNY;3708
ferrière sur beaulieu;37108;ferrière sur beaulieu;3713;LOCHES;3713
FONDETTES;37109;FONDETTES;3736;LUYNES;3736
FRANCUEIL;37110;FRANCUEIL;3703;BLERE;3703
genillé;37111;genillé;3715;MONTRESOR;3715
GIZEUX;37112;GIZEUX;3704;BOURGUEIL;3704
LE GRAND PRESSIGNY;37113;LE GRAND PRESSIGNY;3708;LE GRAND PRESSIGNY;3708
LA GUERCHE;37114;LA GUERCHE;3708;LE GRAND PRESSIGNY;3708
DESCARTES;37115;DESCARTES;3709;DESCARTES;3709
LES HERMITES;37116;LES HERMITES;3706;CHATEAU RENAULT;3706
HOMMES;37117;HOMMES;3705;CHATEAU LA VALLIERE;3705
HUISMES;37118;HUISMES;3707;CHINON;3707
L'ILE BOUCHARD;37119;L'ILE BOUCHARD;3710;L'ILE BOUCHARD;3710
INGRANDES DE TOURAINE;37120;INGRANDES DE TOURAINE;3711;LANGEAIS;3711
JAULNAY;37121;JAULNAY;3719;RICHELIEU;3719
joué les tours;37122;joué les tours;3728;joué les tours;3728
LANGEAIS;37123;LANGEAIS;3711;LANGEAIS;3711
larçay;37124;larçay;3737;MONTLOUIS SUR LOIRE;3737
Léméré;37125;Léméré;3719;RICHELIEU;3719
lerné;37126;lerné;3707;CHINON;3707
le liège;37127;le liège;3715;MONTRESOR;3715
lignières;37128;lignières;3702;AZAY LE RIDEAU;3702
lignières de touraine;37128;lignières de touraine;3702;AZAY LE RIDEAU;3702
ligré;37129;ligré;3719;RICHELIEU;3719
LIGUEIL;37130;LIGUEIL;3712;LIGUEIL;3712
LIMERAY;37131;LIMERAY;3701;AMBOISE;3701
LOCHES;37132;LOCHES;3713;LOCHES;3713
loché-sur-indrois;37133;loché-sur-indrois;3715;MONTRESOR;3715
LOUANS;37134;LOUANS;3712;LIGUEIL;3712
LOUESTAULT;37135;LOUESTAULT;3717;NEUVY LE ROI;3717
